Korteriomandite (eluruumide) tehingud,,,,,,,,,,,,
"Harju maakond, Anija vald / Harju maakond, Harku vald / Harju maakond, Jõelähtme vald / Harju maakond, Keila linn / Harju maakond, Kiili vald / Harju maakond, Kose vald / Harju maakond, Kuusalu vald / Harju maakond, Loksa linn / Harju maakond, Lääne-Harju vald / Harju maakond, Maardu linn / Harju maakond, Raasiku vald / Harju maakond, Rae vald / Harju maakond, Saku vald / Harju maakond, Saue vald / Harju maakond, Tallinn linn / Harju maakond, Viimsi vald / Harju maakond, Haabersti linnaosa / Harju maakond, Kesklinna linnaosa / Harju maakond, Kristiine linnaosa / Harju maakond, Lasnamäe linnaosa / Harju maakond, Mustamäe linnaosa / Harju maakond, Nõmme linnaosa / Harju maakond, Pirita linnaosa / Harju maakond, Põhja-Tallinna linnaosa 2024 aastal",,,,,,,,,,,,
10.05.2025,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Pindala(m2),Tehingu summa (eur),,,Pinnaühiku hind(eur /m2),,,,
,,Pindala(m2),Arv,Keskmine,Kokku,Minimaalne,Maksimaalne,Minimaalne,Maksimaalne,Mediaan,Keskmine,Standardhälve
,,"41-54,99",9,49.50,"1,219,500","30,000","194,000",616.02,"4,205.61","2,933.62","2,750.29","1,107.78"
,,"55-69,99",5,59.50,"700,400","95,000","182,400","1,640.76","3,303.09","2,225.76","2,366.71",761.36
,,"70-249,99",4,***,***,***,***,***,***,***,***,***
,,KOKKU,26,53.60,"3,708,660","23,000","465,000",616.02,"4,205.61","2,866.81","2,479.00","1,033.35"
,Pirita linnaosa,"30-40,99",1,***,***,***,***,***,***,***,***,***
,,"41-54,99",3,***,***,***,***,***,***,***,***,***
,,"55-69,99",2,***,***,***,***,***,***,***,***,***
,,"70-249,99",3,***,***,***,***,***,***,***,***,***
,,KOKKU,9,71.10,"1,800,000","75,000","445,000","1,570.68","4,610.39","3,035.02","2,909.20",826.82
,Põhja-Tallinna linnaosa,"10-29,99",23,18.30,"1,183,390","30,000","100,000","1,143.96","4,224.14","3,099.63","2,901.14",745.73
,,"30-40,99",28,36.70,"2,784,900","27,300","165,000",700.00,"4,863.22","2,442.26","2,725.22",883.82
,,"41-54,99",26,47.50,"4,539,351","80,300","348,500","1,855.01","8,219.34","3,466.78","3,648.18","1,633.40"
,,"55-69,99",12,60.50,"2,630,329","92,000","464,500","1,508.20","7,396.50","3,637.73","3,590.62","1,811.61"
,,"70-249,99",8,84.40,"2,693,300","155,000","468,500","1,994.85","5,531.29","4,051.87","4,008.10","1,111.16"
